job_title,city,country,salary_annual
Data Analyst (m/w/x),Vienna,Austria,54000.0
Data Analytics Specialist (m/w/x),Vösendorf,Austria,40000.0
Data Analyst & Report Developer - Supply Chain Finance Solution (all genders),Vienna,Austria,45811.0
Data Analyst:in (w/m/x),Vienna,Austria,50000.0
Data Analytics Trainee (w/m/d),Vienna,Austria,46000.0
Senior eCommerce Data Analyst & Product Owner (f/m/d),Vienna,Austria,63000.0
IT Data Analyst (m/w/d) marktführendes Logistik-Unternehmen,Vienna,Austria,50500.0
BI Analyst/Data Scientist für Produkt & Marketing (m/w/d),Vienna,Austria,52136.0
(Senior) Consultant im Bereich SAP Data & Analytics,Vienna,Austria,60000.0
Analyst - Analytics and Consulting (m/w/d),Vienna,Austria,50000.0
Data Analyst (w/m/x),Vienna,Austria,70000.0
Data Analyst (w/m/x),Vienna,Austria,70000.0
BI - Data Analyst (m/w/d),Vienna,Austria,43946.0
Berufspraktikum mit Schwerpunkt Data Analytics im Bereich Global Human Resources (w/m/d),Vienna,Austria,26754.0
Data Analyst (m/w/x),Vienna,Austria,54000.0
Data Analytics Specialist (m/w/x),Vösendorf,Austria,40000.0
Internal Audit Data Analyst:in,Vienna,Austria,54751.0
Data Analyst & Report Developer - Supply Chain Finance Solution (all genders),Vienna,Austria,45811.0
Data Analyst:in (w/m/x),Vienna,Austria,50000.0
Data Analytics Trainee (w/m/d),Vienna,Austria,46000.0
Senior eCommerce Data Analyst & Product Owner (f/m/d),Vienna,Austria,63000.0
IT Data Analyst (m/w/d) marktführendes Logistik-Unternehmen,Vienna,Austria,50500.0
BI Analyst/Data Scientist für Produkt & Marketing (m/w/d),Vienna,Austria,52136.0
Internship Data Science - Compliance Advanced Analytics (all genders),Vienna,Austria,40685.0
(Senior) Consultant im Bereich SAP Data & Analytics,Vienna,Austria,60000.0
Data Engineer (m/w/d) - befristet,Vienna,Austria,64534.0
Werkstudentin (w/m/d) Data Engineer Junior,Vienna,Austria,42314.0
